"","id","scen","G","U1","U2","R","T","B","U3","source"
"111",1,1,11,10,6,8,5,2,9,"SONA"
"2",2,1,9,10,6,8,6,1,8,"SONA"
"3",3,1,11,8,7,9,9,2,9,"SONA"
"4",4,1,11,9,6,6,4,1,8,"SONA"
"5",5,1,10,10,6,6,6,2,7,"SONA"
"6",6,1,6,7,6,5,5,2,6,"SONA"
"7",7,1,11,8,6,6,4,2,11,"SONA"
"8",8,1,11,7,6,6,7,2,6,"SONA"
"9",9,1,11,7,5,10,10,2,8,"SONA"
"10",10,1,11,9,6,4,4,1,7,"SONA"
"11",11,1,11,5,6,9,6,2,4,"SONA"
"12",12,1,11,8,6,6,7,1,6,"SONA"
"13",13,1,11,7,6,5,3,2,7,"SONA"
"14",14,1,11,10,3,2,2,2,7,"SONA"
"15",15,1,11,8,4,5,5,1,6,"SONA"
"16",16,1,11,9,6,7,5,1,8,"SONA"
"17",17,1,11,10,6,4,6,2,7,"SONA"
"18",18,1,11,9,3,1,1,2,6,"SONA"
"19",19,1,11,7,6,8,6,2,7,"SONA"
"20",20,1,11,8,8,7,6,1,8,"SONA"
"21",21,1,11,9,6,8,7,1,9,"SONA"
"22",22,1,10,9,6,9,4,1,7,"SONA"
"23",23,1,11,11,8,9,8,2,11,"SONA"
"24",24,1,11,11,8,6,6,2,8,"SONA"
"25",25,1,11,6,7,9,9,2,8,"SONA"
"26",26,1,11,10,4,9,3,2,9,"SONA"
"27",27,1,11,8,6,6,5,2,6,"SONA"
"29",28,1,11,8,9,9,9,2,9,"SONA"
"30",29,1,11,9,7,8,8,1,11,"SONA"
"31",30,1,11,10,7,7,7,2,9,"SONA"
"32",31,1,11,5,4,8,4,2,4,"SONA"
"33",32,1,11,8,4,1,1,2,5,"SONA"
"34",33,1,11,7,6,8,8,1,8,"SONA"
"35",34,1,11,8,6,4,5,2,7,"SONA"
"36",35,1,11,11,6,3,3,2,11,"SONA"
"37",36,1,11,10,3,8,8,2,10,"SONA"
"38",37,1,11,10,8,7,7,2,10,"SONA"
"39",38,1,11,8,6,7,7,1,8,"SONA"
"40",39,1,11,8,6,5,1,1,4,"SONA"
"42",40,1,11,7,5,4,4,2,7,"SONA"
"43",41,1,11,8,7,8,7,2,7,"SONA"
"44",42,1,11,10,4,3,3,2,3,"SONA"
"45",43,1,11,11,6,10,9,1,9,"SONA"
"46",44,1,11,7,5,6,5,2,5,"SONA"
"47",45,1,11,7,7,5,5,2,5,"SONA"
"48",46,1,11,9,6,7,7,1,9,"SONA"
"49",47,1,11,9,7,7,3,1,7,"SONA"
"50",48,1,10,7,4,9,10,1,5,"SONA"
"51",49,1,9,6,5,4,4,2,7,"SONA"
"52",50,1,11,8,6,10,7,2,7,"SONA"
"53",51,1,11,11,4,3,7,2,9,"SONA"
"54",52,1,11,7,6,1,3,2,6,"SONA"
"55",53,1,11,11,6,3,5,1,11,"SONA"
"56",54,1,11,10,5,5,2,2,6,"SONA"
"57",55,1,8,6,5,8,4,2,7,"SONA"
"58",56,1,10,8,6,7,6,2,6,"SONA"
"59",57,1,11,9,6,8,8,1,8,"SONA"
"60",58,1,11,10,6,4,4,2,6,"SONA"
"61",59,1,11,9,6,7,8,2,8,"SONA"
"62",60,1,11,7,6,8,7,2,5,"SONA"
"64",61,1,11,9,8,6,8,1,6,"SONA"
"65",62,1,10,9,8,8,7,1,7,"SONA"
"66",63,1,11,9,7,6,5,2,6,"SONA"
"67",64,1,10,8,5,10,4,2,5,"SONA"
"68",65,1,9,5,5,7,5,1,6,"SONA"
"69",66,1,11,10,6,3,3,2,4,"SONA"
"71",67,1,11,9,6,8,6,1,4,"SONA"
"72",68,1,10,8,6,8,7,2,10,"SONA"
"73",69,1,11,9,6,4,3,2,8,"SONA"
